DatGeracaoConjuntoDados;SigAgenteFiscalizador;NumAutoInfracao;DatLavraturaAutoInfracao;NomNaturezaFiscalizacao;DscObjetoFiscalizado;CodObjetoFiscalizado;NomAgenteFiscalizado;NumCPFCNPJAgenteFiscalizado;NumProcessoPunitivo;NumProcessoPunitivoANEEL;DatRecebimentoAutoInfracao;DscTipoPenalidade;VlrPenalidade;DtRecebimentoRecurso;DatDecisaoJuizo;DscDecisaoCompletaJuizo;DscAtoJuizo;VlrMultaAposJuizo;DatDecisaoDiretoria;DscDecisaoCompletaDiretoria;DscAtoDiretoria;VlrMultaAposDiretoria;NumTermoEncerramento;DatLavraturaTE;DscEnquadramentoAI;NumTermoNotificacao;NumProcessoFiscalizacao
01/10/2023;ANEEL;0009/2021-SFF;31/03/2021;Apoio ao Processo Decisório e Conformidade Regulatória;SFF-Geral;Não se aplica;Breitener Jaraqui S/A;7387573000169;48500000662202100;;12/04/2021; Advertência;0;;;;;;;;;;1056/2021-SFF;18/05/2021;;0052/2020-SFF;4,85E+16
01/10/2023;ANEEL;0009/2021-SFG;25/02/2021;1.01.01 - Procedimento da Fase Pré-Obras;Empreendimentos de Geração;Não informado;Ute Mc2 Santo Antônio de Jesus S/A;10536692000140;48500001247201000;4,85E+16;29/03/2021; Multa;1415457,09;;;;;;;;;;;; Multa do Grupo III Art. 6º;0071/2020-SFG;4,85E+16
01/10/2023;ARPE;0009/2022-ARPE-SFG;05/09/2022;1.01.01 - Procedimento da Fase Pré-Obras;Empreendimentos de Geração;Não informado;Geradora de Energia Quinturaré Spe Ltda.;23417495000154;10/22-CEE-ARPE-D7;;05/09/2022; Multa;49587,08;16/09/2022;26/09/2022;Decisão anterior mantida;;49587,08;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0010/2022-ARPE-SFG;10/22-CEE-ARPE-D7
01/10/2023;ANEEL;0009/2022-SFE;31/05/2022;Técnica;Não se aplica;Não se aplica;ENERGISA Mato Grosso - Distribuidora de Energia S/A - EMT;3467321000199;48500000719202200;;31/05/2022; Multa;37280175,88;10/06/2022;08/08/2022;Decisão anterior mantida;4,8534E+16;37280175,88;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0001/2022-SFE;4,85E+16
01/10/2023;ANEEL;0009/2022-SFF;21/09/2022;Apoio ao Processo Decisório, Anuência e Conformidade Regulatória;Não se aplica;Não se aplica;COMPANHIA CAMPOLARGUENSE DE ENERGIA COCEL - COCEL;75805895000130;48500004793202200;;22/09/2022; Advertência;0;;;;;;;;;;1077/2022-SFF;10/10/2022;;0011/2022-SFF;4,85E+16
01/10/2023;ANEEL;0009/2022-SFG;02/05/2022;1.02.02 - Procedimento Desempenho UTE Tipo I e II A; Maracanaú I-UTE; UTE.PE.CE.029654-6.01;MARACANAÚ Geradora de Energia S/A;9047261000131;48500003823202200;;09/05/2022; Multa;3298022,79;;;;;;;;;;1209/2022-SFG;01/11/2022; Multa do Grupo IV (REN 846/2019) Art. 12;0014/2021-SFG;4,85E+16
01/10/2023;ARPE;0009/2023-ARPE-SFT;09/06/2023;1.01.02 - Procedimento da Fase Obras; Belmonte 2-5-UFV; UFV.RS.PE.040739-9.01;Belmonte II Parque Solar S/A;30418547000172;012/23-ARPE-BE2-5;;13/06/2023; Multa;99592,99;22/06/2023;29/06/2023;Decisão anterior mantida;;99592,99;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0019/2023-ARPE-SFT;012/23-ARPE-BE2-5
01/10/2023;ANEEL;0009/2023-SFT;10/05/2023;1.02.05 - Procedimento Segurança de Barragens;Empreendimentos de Geração;Não informado;Pch Dourados Usina Ltda.;7331935000108;48500002331202300;;16/05/2023; Multa;1351,77;;;;;;;;;;;; Multa do Grupo I (REN 846/2019) Art. 9º ;0101/2022-SFG;4,85E+16
01/10/2023;ARSESP;0010/2019-ARSESP-SFE;29/11/2019;Comercial;Não se aplica;Não se aplica;ELETROPAULO Metropolitana Eletricidade de São Paulo S/A - ELETROPAULO;61695227000193;ARSESP-3002-2019;;29/11/2019; Multa;13592430,03;11/12/2019;;;;;;Recurso acatado parcialmente;;12089287,84;;; Multa do Grupo III Art. 6º / Multa do Grupo IV Art. 7º;0004/2019-ARSESP-SFE;ARSESP-3002-2019
01/10/2023;ANEEL;0010/2019-SFE;05/04/2019;Indicadores de reclamações - DER e FER;Não se aplica;Não se aplica;Empresa Luz e Força Santa Maria S/A - ELFSM;27485069000109;48500000796201800;;08/04/2019; Multa;37289,57;18/04/2019;17/06/2019;Decisão anterior mantida;4,8534E+16;37289,57;27/01/2022;Decisão anterior mantida;4,8575E+16;37289,57;0015/2022-SFE;11/02/2022; Multa do Grupo II Art. 5º / Multa do Grupo III Art. 6º;1033/2018-SFE;4,85E+16
01/10/2023;ANEEL;0010/2019-SFG;05/11/2019;1.01.01 - Procedimento da Fase Pré-Obras; Boa Vista-PCH; PCH.PH.SC.031439-0.01;Boa Vista Energética S/A;10945279000130;48500005641201900;;13/11/2019; Multa;17384,22;22/11/2019;11/12/2019;Decisão anterior mantida / Recurso acatado parcialmente;4,8532E+16;17384,22;18/03/2020;Decisão anterior mantida / Recurso acatado parcialmente;4,8575E+16;;1024/2020-SFG;07/04/2020; Multa do Grupo III Art. 6º;0037/2019-SFG;4,85E+16
01/10/2023;AGERGS;0010/2020-AGERGS-SFG;17/06/2020;1.02.05 - Procedimento Segurança de Barragens; Marco Baldo-PCH; PCH.PH.RS.028967-1.01;Turvo Energia S/A;10890065000103;000426-39.00/20-0;;30/06/2020; Multa;30708,13;09/07/2020;;;;;;;;;0003/2021-AGERGS-SFG;18/02/2021; Multa do Grupo III Art. 6º;0008/2019-AGERGS-SFG;002808-39.00/14-4
01/10/2023;ANEEL;0010/2020-SFE;18/03/2020;Indicadores de Continuidade;Não se aplica;Não se aplica;Cia. Sul Sergipana de Eletricidade - SULGIPE;13255658000196;48500001417201900;;24/03/2020; Multa;11668,27;;;;;;;;;;0008/2020-SFE;23/04/2020; Multa do Grupo III Art. 6º;0031/2019-SFE;4,85E+16
