CEP|Tipo_Logradouro|Logradouro|Complemento|Local|Bairro|Cidade|cod_cidade|UF|Estado|cod_estado|Latitude|Longitude
22753005|Estrada|do Itanhangá|||Itanhangá|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9964836|-43.3144165
22753730|Rua|Vivalde Brandão Couto|||Itanhangá|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9859047|-43.3284169
22753972||Rua Nova 111 Loja B||AGF JRD|Anil|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8758221|-43.2421421
22763620|Travessa|Vinte e Sete|||Cidade de Deus|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9203741|-43.6627616
22773230|Travessa|Concilio|||Cidade de Deus|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9452529|-43.3651634
22775036|Avenida|Cláudio Besserman Vianna|(Vl Pan)||Barra da Tijuca|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9710466|-43.3578115
22775049|Rua|Enriente Morrino|(Cond Pólo Rio de Cine  e Vídeo)||Jacarepaguá|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9068467|-43.1728965
22775740|Rua|Otávio Coimbra|||Cidade de Deus|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9477059|-43.3704949
23017430|Caminho|da Furna|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9281835|-43.5128347
23020640|Rua|Fonseca e Silva|||Guaratiba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9903754|-43.5953593
23026490|Rua|Dom Viçoso|||Guaratiba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9879784|-43.6332704
23031510|Rua|Quarenta e Três|(Jd Maravilha)||Guaratiba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9385320|-43.6637017
23032776|Rua|Yasmim|(Lot Jd Luana)||Guaratiba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9720031|-43.6313907
23036049|Rua|Fernando Lyra|||Guaratiba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9398469|-43.5810946
