id_bairro|bairro|id_cidade
2406|Parque Oeste Industrial|2174
2409|Parque Santa Rita|2174
2416|Recreio do Funcionário Público|2174
2444|Residencial Recanto do Bosque|2174
2446|Residencial Solar Ville|2174
2455|São Francisco|2174
2460|Setor Bueno|2174
2463|Setor Central|2174
2473|Setor Garavelo|2174
2475|Setor Grajaú|2174
2478|Setor Leste Universitário|2174
2484|Setor Norte Ferroviário|2174
2489|Setor Pedro Ludovico|2174
2495|Setor Santos Dumont|2174
2498|Setor Sul|2174
2502|Setor Urias Magalhães|2174
2504|Residencial Aldeia do Vale|2174
2507|Sítios de Recreio Mansões do Campus|2174
2521|Vila Alto da Glória|2174
2529|Vila Bela|2174
2534|Vila Colemar Natal e Silva|2174
2543|Vila Fróes|2174
2575|Vila Pedroso|2174
2577|Vila Redenção|2174
2591|Vila Santo Afonso|2174
2602|Vila Vera Cruz|2174
2617|Jardim Liberdade|2204
2625|Setor Dona Marolina|2204
2629|Setor Nova Aurora|2204
2630|Setor Novo Horizonte|2204
2631|Setor Paranaíba|2204
2635|Setor Santa Rita|2204
2642|Vila Vitória|2204
2645|Centro|2209
2657|Santa Terezinha|2209
2660|Setor Aeroporto|2209
2673|Setor Industrial|2209
2675|Setor Jacutinga|2209
2676|Setor José Bento|2209
2682|Vila das Palmeiras|2209
2695|Vila Santa Maria|2209
2700|Itapuã I|2285
2702|Jardim das Paineiras|2285
2703|Jardim Paquetá I|2285
2706|Setor Leste|2285
2708|Setor Oeste|2285
2717|Jardim Bela Vista|2298
2756|Vila Amália|2298
2758|Vila Baylão|2298
2765|Vila Maria|2298
2768|Vila Morais|2298
2774|Vila Rosalina|2298
2806|Seriema|2430
2810|Volta Redonda|2430
2813|Bacuri|2475
2815|Boca da Mata|2475
2837|Jardim Tropical|2475
2853|Parque Santa Lúcia|2475
2857|Santa Inês|2475
2893|Anjo da Guarda|2587
2898|Aurora|2587
2911|Centro|2587
2912|Cidade Operária|2587
2915|COHAB Anil II|2587
2918|COHEB do Sacavém|2587
2923|Cohaserma|2587
2948|Forquilha|2587
2966|João de Deus|2587
2968|Jordoa|2587
2969|Liberdade|2587
2972|Madre Deus|2587
2974|Maracanã|2587
2994|Pedrinhas|2587
2996|Pirapora|2587
2999|Ponta D'Areia|2587
3002|Quebra Pote|2587
3003|Quintas do Calhau|2587
3005|Recanto dos Vinhais|2587
3011|Rio Grande|2587
3012|Sá Viana|2587
3028|Tibiri|2587
3030|Tirirical|2587
3039|Vila Itamar|2587
3041|Vila Nova|2587
3043|Vila Palmeira|2587
3046|Vila Vicente Fialho|2587
3072|São Marcos|2606
3079|Glória|2606
3086|Brasília|2695
3087|Centro|2695
3094|Goiás|2695
3105|Jardim Regina|2695
3109|Miranda|2695
3116|Paraíso|2695
3120|Santa Helena|2695
3123|São João|2695
3128|Sibipiruna|2695
3140|Jardim das Primaveras|2704
3142|Barreiro|2704
3157|José Ferreira Guimarães (Mangueira II)|2704
3178|São Cristóvão|2704
3205|Bom Pastor|2735
3209|Campo|2735
